Date_of_Payment,lat,long,pay,day
2013-08-14,40.604372,-75.473127,2500,13
2013-08-14,40.656802,-73.622523,1600,13
2013-08-14,40.754757,-73.601772,1600,13
2013-08-14,40.765309,-74.98743,2400,13
2013-08-14,40.768823,-73.960257,1323.07,13
2013-08-14,40.776629,-73.953914,91.51,13
2013-08-14,40.889498,-73.971782,3500,13
2013-08-14,41.399129,-82.724417,2606.44,13
2013-08-14,41.504751,-81.602799,107.69,13
2013-08-14,42.336162,-71.072854,2500,13
2013-08-14,42.968507,-78.749153,2435,13
2013-08-14,43.011127,-83.803045,4100,13
2013-08-14,43.433036,-111.660433,12.59,13
2013-08-14,47.615471,-122.207221,2708.71,13
2013-08-14,37.490387,-122.212846,1600,13
2013-08-14,36.961768,-93.237749,2400,13
2013-08-14,42.496485,-83.098474,10.59,13
2013-08-14,36.782012,-119.822019,37.82,13
2013-08-14,26.561955,-81.911422,12.77,13
2013-08-14,26.607784,-81.832214,38.3,13
2013-08-14,27.63573,-99.592284,4800,13
2013-08-14,28.331765,-82.244624,1600,13
2013-08-14,30.078597,-81.847794,2000,13
2013-08-14,30.191737,-81.603557,3500,13
2013-08-14,30.788123,-88.088073,1600,13
2013-08-14,32.093314,-110.879684,759.26,13
2013-08-14,32.24425,-110.92318,2472.15,13
2013-08-14,36.850729,-119.802227,37.82,13
2013-08-14,32.753927,-97.786026,3200,13
2013-08-14,32.898511,-117.225744,2400,13
2013-08-14,33.016928,-116.846046,6.1,13
2013-08-14,32.692682,-96.623022,1600,13
2013-08-14,33.276539,-112.18717,4822.31,13
2013-08-14,36.38698,-78.396213,6.57,13
2013-08-14,36.150406,-86.791598,2500,13
2013-08-14,36.146143,-95.951483,13.21,13
2013-08-14,33.082192,-117.267169,10.73,13
2013-08-14,35.078775,-89.841963,2507.03,13
2013-08-14,36.053498,-95.920371,24.56,13
2013-08-14,33.786594,-118.298662,7213.41,13
2013-08-14,33.705787,-117.816189,3200,13
2013-08-14,33.572085,-101.896394,13.17,13
2013-08-14,33.466705,-81.739059,2500,13
2013-08-14,33.390148,-111.717968,22.31,13
2013-08-14,34.839964,-115.967051,13.21,13
2013-08-15,37.519396,-77.500757,6.57,14
2013-08-15,36.441768,-121.416603,2,14
2013-08-15,36.053498,-95.920371,9.95,14
2013-08-15,35.123644,-89.842541,13.34,14
2013-08-15,35.104589,-89.900314,13.34,14
2013-08-15,33.786594,-118.298662,86.8,14
2013-08-15,33.276539,-112.18717,18.7,14
2013-08-15,32.856976,-96.690775,100,14
2013-08-15,43.482403,-83.969391,35.59,14
2013-08-15,38.962543,-94.574582,28.48,14
2013-08-15,41.929341,-83.444773,9.96,14
2013-08-15,41.838005,-111.917217,10.75,14
2013-08-15,39.772692,-86.158038,40.78,14
2013-08-15,39.762392,-86.143736,20.39,14
2013-08-15,41.137295,-74.105737,21.91,14
2013-08-15,40.914616,-73.986334,15.09,14
2013-08-15,40.302238,-76.866348,9.74,14
2013-08-15,32.771419,-97.291484,58.02,14
2013-08-15,27.556714,-99.475079,100,14
2013-08-15,43.042907,-78.698796,13.03,14
2013-08-15,27.63573,-99.592284,9.44,14
2013-08-16,41.811929,-87.68732,121.55,15
2013-08-16,40.801131,-75.310958,17.68,15
2013-08-16,39.429055,-76.787696,8.68,15
2013-08-16,38.967943,-76.615637,4.87,15
2013-08-16,30.788123,-88.088073,20.81,15
2013-08-16,37.498586,-122.29815,101.71,15
2013-08-16,36.98025,-121.74696,2,15
2013-08-16,36.053498,-95.920371,21.97,15
2013-08-16,35.70582,-95.50025,59.28,15
2013-08-16,33.786594,-118.298662,51.84,15
2013-08-16,33.58016,-84.326757,250.76,15
2013-08-16,33.276539,-112.18717,11.86,15
2013-08-16,32.787514,-116.960836,3.49,15
2013-08-16,38.1012,-122.032061,101.71,15
2013-08-19,36.097046,-95.846066,30.6,18
2013-08-19,36.14226,-95.879069,3.69,18
2013-08-19,36.441768,-121.416603,2,18
2013-08-19,37.685879,-120.948033,8.07,18
2013-08-19,40.08561,-75.151569,8.22,18
2013-08-19,40.7888,-74.011533,11.36,18
2013-08-19,41.242576,-80.720029,11.76,18
2013-08-19,33.707568,-117.845746,8.62,18
2013-08-19,42.374118,-83.418143,9.4,18
2013-08-19,36.045543,-95.956267,10.2,18
2013-08-19,43.516701,-111.691535,9.55,18
2013-08-19,32.898511,-117.225744,8.89,18
2013-08-19,32.810983,-117.136812,8.9,18
2013-08-19,27.231941,-82.3504,96.57,18
2013-08-19,26.518049,-80.079114,36.25,18
2013-08-19,41.685744,-81.672797,11.76,18
2013-08-19,26.144589,-80.26052,9.92,18
2013-08-19,35.078775,-89.841963,3.13,18
2013-08-20,40.376408,-74.170037,24.07,19
2013-08-20,35.058097,-81.98003,5.88,19
2013-08-20,34.938893,-82.358999,9.31,19
2013-08-20,33.945533,-78.327029,13.07,19
2013-08-20,26.518049,-80.079114,33.18,19
2013-08-20,26.561955,-81.911422,3.47,19
2013-08-20,26.572627,-81.937186,3.71,19
2013-08-20,26.607784,-81.832214,10.44,19
2013-08-20,29.269288,-98.33469,2.75,19
2013-08-20,30.078597,-81.847794,2.95,19
2013-08-20,32.240571,-110.944343,10,19
2013-08-20,32.898511,-117.225744,27.24,19
